afferentCoupling,bugs,commentWeight,cyclomaticComplexity,dc,difficulty,efferentCoupling,effort,instability,intelligentContent,lcom,length,loc,logicalLoc,maintainabilityIndex,maintainabilityIndexWithoutComment,myerDistance,noc,noc-anon,noca,nocc,noi,nom,operators,rdc,rsc,rsysc,sc,sysc,time,vocabulary,volume
0,1.38,41.61,30,14.5,44.46,1,183755.38,1,92.96,2,606,390,76,71.23,29.62,2,1,0,0,1,0,9,2,1.61,0.11,1.72,1,15.5,10209,113,4133.03
0,3.07,37.84,99,62,78.21,0,721343.45,0,117.93,8,1266,1013,132,50.5,12.66,16,1,0,0,1,0,20,16,3.1,0,3.1,0,62,40075,156,9223.32
0,2.03,42.23,40,45,39.33,0,239211.7,0,154.62,9,862,885,106,66.17,23.94,3,1,0,0,1,0,22,3,2.05,0,2.05,0,45,13290,133,6081.65
0,9.45,34.74,198,74,111.16,0,3153063.97,0,255.17,4,3443,1517,417,34.74,0,32,1,0,0,1,0,25,32,2.96,0,2.96,0,74,175170,302,28364.83
0,9.49,34.8,199,74,111.29,0,3167784.64,0,255.76,4,3455,1511,415,34.8,0,32,1,0,0,1,0,25,32,2.96,0,2.96,0,74,175988,302,28463.69
0,0.35,43.23,12,0,21.29,0,22671.56,0,50.01,0,181,132,18,93.04,49.81,3,0,0,0,0,0,0,3,0,0,0,0,0,1260,59,1064.76
0,2.89,39.96,75,66,72.24,0,627096.62,0,120.16,8,1177,1036,133,55.96,16,7,1,0,0,1,0,25,7,2.64,0,2.64,0,66,34839,166,8680.42
0,3.64,38.92,76,26,69.95,0,763034.66,0,155.96,3,1444,793,147,53.15,14.23,7,1,0,0,1,0,22,7,1.18,0,1.18,0,26,42391,188,10908.83
0,0.36,32.66,19,0,28.84,0,31042.7,0,37.32,0,196,270,31,76.34,43.68,1,0,0,0,0,0,0,1,0,0,0,0,0,1725,45,1076.4
0,1.38,41.97,38,17.5,34.47,1,142487.56,1,119.93,2,605,428,75,70.63,28.66,11,1,0,0,1,0,11,11,1.59,0.09,1.68,1,18.5,7916,114,4133.9
0,2.56,38.05,79,0,76.36,0,585766.35,0,100.47,0,1105,597,111,55.61,17.56,6,0,0,0,0,0,0,6,0,0,0,0,0,32543,123,7671.48
0,0.09,44.98,5,0,10.25,0,2778.21,0,26.44,0,65,69,8,107.57,62.59,0,0,0,0,0,0,0,0,0,0,0,0,0,154,18,271.05
